Facility Id,FRS Id,Facility Name,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Electrical Equipment Use,SF6 emissions ,Does the facility employ continuous emissions monitoring? 
1003708,1.10001E+11,AEP Corporate SF6 Emissions,Columbus,OH,43215,1 Riverside Plaza,WASHINGTON COUNTY,39.588493,-81.682523,221112,DD,"172,689.48","172,689.48",N
1010811,1.10011E+11,Ameren Illinois Electric,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221122,DD,"8,846.40","8,846.40",N
1010812,1.10012E+11,Ameren Missouri Electric,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221122,DD,"10,745.64","10,745.64",N
1010076,1.10056E+11,Anaheim Electric Distribution System,Anaheim,CA,92805,"201 S. Anaheim Blvd., MS-1101",ORANGE COUNTY,33.83458,-117.91401,221122,DD,"2,845.44","2,845.44",N
1009780,1.10012E+11,Arizona Public Service Company,Phoenix,AZ,85021,2124 W. Cheryl Ave.,MARICOPA COUNTY,33.578425,-112.104408,221121,DD,"9,238.56","9,238.56",N
1010805,1.10064E+11,Avista Corporation,Spokane,WA,99220,1411 E.Mission,SPOKANE COUNTY,47.675155,-117.387747,221121,DD,"7,683.60","7,683.60",N
1007339,1.1E+11,BP Whiting Business Unit,WHITING,IN,46394,2815 INDIANAPOLIS BLVD,Lake,41.6703,-87.4803,324110,"C,D,DD,MM-REF,P,Y","1,454.64","1,454.64",N
1013043,1.10011E+11,Basin Electric Power Cooperative,Bismarck,ND,58503,1717 East Interstate Avenue,BURLEIGH COUNTY,46.83447,-100.76678,221122,DD,"25,023.00","25,023.00",N
1013207,1.10071E+11,Bearkat Substation,Garden City,TX,79739,,GLASSCOCK COUNTY,31.766,-101.5312,221121,DD,0,,N
1005611,1.10001E+11,Bonneville Power Administration - Transmission,Vancouver,WA,98663, 5411 NE Hwy 99,CLARK COUNTY,45.6616,-122.6572,221121,DD,"24,890.76","24,890.76",N
1006158,1.10044E+11,CON EDISON - ELECTRIC TRANSMISSION & DISTRIBUTION SYSTEM,New York,NY,10003,4 Irving Place,NEW YORK COUNTY,40.7341,-73.98868,237130,DD,"83,274.72","83,274.72",N
1008343,1.10005E+11,"CenterPoint Energy Houston Electric, LLC substations",Houston,TX,77034,"4500 South Shaver, Building D",HARRIS COUNTY,29.639182,-95.208525,221121,DD,"3,625.20","3,625.20",N
1011288,1.10001E+11,Central Hudson Gas and Electric Corporation Elec T&D Equipment,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,221122,DD,"5,820.84","5,820.84",N
1009507,1.10008E+11,Clark Energy Center,Marcy,NY,13403,6520 Glass Factory Road,ONEIDA COUNTY,43.17781,-75.22843,221121,DD,"28,584.36","28,584.36",N
1007204,1.10001E+11,Coalinga Cogeneration Facility,COALINGA,CA,93210,32812 WEST GALE AVE,Fresno,36.1807,-120.3885,221112,"D,DD",0,,N
1009855,1.10017E+11,Consumers Energy - Electric Asset Management,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.24668,-84.40311,221121,DD,"2,533.08","2,533.08",N
1013208,1.10071E+11,Cottonwood Substation,Roaring Springs,TX,79220,,DICKENS COUNTY,33.7783,-100.8766,221121,DD,0,,N
1002040,1.10008E+11,DOW TEXAS OPERATIONS FREEPORT,FREEPORT,TX,77541,2301 N. BRAZOSPORT BLVD. BUILDING B-101,BRAZORIA COUNTY,28.9792,-95.3549,325110,"C,DD,TT,W-UNSTG,X",0,,N
1009685,1.10064E+11,Duke Energy Power Delivery Carolinas,Charlotte,NC,28202,526 South Church St,MECKLENBURG COUNTY,35.22476,-80.84901,221121,DD,"338,520.72","338,520.72",N
1009540,1.10044E+11,Duke Energy Power Delivery Midwest,Cincinnati,OH,45202,139 East Fourth Street,HAMILTON COUNTY,39.10036,-84.50994,221121,DD,"17,674.56","17,674.56",N
1008769,1.10056E+11,East Garden City Substation,Garden City,NY,11599,595 Stewart Avenue,NASSAU COUNTY,40.731721,-73.611541,221121,DD,572.28,572.28,N
1001695,1.10014E+11,East Kentucky Power Transmission System,Winchester,KY,40391,4775 Lexington Road,CLARK COUNTY,38.02152,-84.25715,221112,DD,"9,678.60","9,678.60",N
1011120,1.1001E+11,Entergy (all subsidiary companies),New Orleans,LA,70113,639 Loyola Ave.,ORLEANS PARISH,29.94914,-90.07633,221122,DD,"152,794.20","152,794.20",N
1009620,1.10018E+11,Evergy Transmission and Distribution,Topeka,KS,66612,818 S Kansas Ave,SHAWNEE COUNTY,39.04854,-95.67468,221121,DD,"58,714.56","58,714.56",N
1003060,1.1001E+11,FPL Transmission and Distribution System,Riviera Beach,FL,33407,"2455 Port West Blvd, BLDG-E",PALM BEACH COUNTY,26.768814,-80.101219,221121,DD,"152,276.64","152,276.64",N
1013209,1.10071E+11,Faraday Substation,Gail,TX,79720,,BORDEN COUNTY,32.6479,-101.3971,221121,DD,0,,N
1009854,1.10014E+11,FirstEnergy Substation Group,Akron,OH,44308,76 South Main Street,SUMMIT COUNTY,41.08312,-81.51766,221121,DD,"114,702.24","114,702.24",N
1001032,1.10008E+11,Gibbons Creek Steam Electric Station,ANDERSON,TX,77830,12824 FM244,Grimes,30.6167,-96.0778,221112,"D,DD","1,251.72","1,251.72",N
1013210,1.10071E+11,Grelton Substation,Stanton,TX,79749,,MARTIN COUNTY,32.1664,-101.8815,221121,DD,0,,N
1013499,,Gulf Power Company Transmission and Distribution,Pensacola,FL,32520,One Energy Place,,30.414704,-87.202644,221121,DD,959.88,959.88,N
1010344,1.10002E+11,HECO Distribution and Transmission,Honolulu,HI,96814,820 Ward Avenue,HONOLULU COUNTY,21.30042,-157.85149,221122,DD,"7,065.72","7,065.72",N
1013286,1.10065E+11,Hummel Station LLC,Selinsgrove,PA,17876,2386 N. Old Trail Road,SNYDER COUNTY,40.8361,-76.825,221112,"C,D,DD",0,,N
1010527,1.10049E+11,ITC Great Plains,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,576.84,576.84,N
1009726,1.10049E+11,ITC Midwest,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"11,222.16","11,222.16",N
1009725,1.10049E+11,ITC Transmission/Michigan Electric Transmission Company,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"16,785.36","16,785.36",N
1013535,1.10069E+11,Indianapolis Power & Light Company,Indianapolis,IN,46221,1230 W. Morris Street,MARION COUNTY,39.75142,-86.18121,221122,DD,"6,021.48","6,021.48",N
1004001,1.10007E+11,Kern River Cogeneration Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,35.4518,-118.9851,221112,"C,DD",0,,N
1009894,1.10028E+11,LCRA Transmission Services,Austin,TX,78703,3700 Lake Austin Blvd,TRAVIS COUNTY,30.29394,-97.78362,221121,DD,"50,365.20","50,365.20",N
1009765,1.10044E+11,"LG&E and KU Energy, LLC - Subpart DD SF6",Louisville,KY,40202,220 West Main Street,JEFFERSON COUNTY,38.25634,-85.75418,221112,DD,"9,313.80","9,313.80",N
1009868,1.10005E+11,LIPA T&D System,Uniondale,NY,11553,333 Earle Ovington Blvd,NASSAU COUNTY,40.724276,-73.59322,221121,DD,"16,336.20","16,336.20",N
1013238,1.10071E+11,Liberty Utilities Kodiak Service Center,Joplin,MO,64804,3400 S. Kodiak Rd.,NEWTON COUNTY,37.05216,-94.405951,221122,DD,994.08,994.08,N
1013211,1.10071E+11,Long Draw Substation,Gail,TX,79738,,BORDEN COUNTY,32.7213,-101.633,221121,DD,0,,N
1009555,1.10037E+11,Los Angeles Department of Water and Power - electric power transmission & distribution entity (SF6),Los Angeles,CA,90012,111 N. Hope Street,LOS ANGELES COUNTY,34.05651,-118.24976,221121,DD,"14,737.92","14,737.92",N
1009627,1.10044E+11,MidAmerican Energy Company,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,221122,DD,"18,566.04","18,566.04",N
